Pair,Sex,Chasing,TimeBottom,Attacks,Freezing,Retreats,Status,TimeBottomNTT,TimeTopNTT,AbsoluteTurnAngle,Freezing,Speed
2,Female,39,73.0968052543837,258,1.94247984950572,6,Dominant,214.95936004415,10.4667937505179,15.4848583905651,10,12.1381720566805
4,Female,96,45.6987030838139,21,17.4749823072288,10,Dominant,315.124931678129,28.2560698997581,18.0369666814664,35,12.5739220611266
5,Female,82,54.6695658806021,127,8.12662004115013,9,Dominant,218.269821439567,22.2305958099938,34.9642318422359,16,5.38198815236044
8,Female,68,44.4478196166743,43,13.7301657368644,6,Dominant,291.200013566925,23.2092231044164,21.1354092521985,25,11.028438058498
9,Female,80,67.8963764498888,210,4.58768392371088,10,Dominant,329.136212096255,12.1083831435506,16.523801634519,22,6.23886798602794
17,Female,73,73.0460637823683,34,13.7857785369177,2,Dominant,199.973030098096,19.081232713015,19.4936547678531,27,9.08447733132341
19,Female,28,37.0854896584009,172,17.4794803748113,3,Dominant,216.371505934436,12.2076581653531,27.9694225217951,45,3.11856732298123
2,Female,12,442.912583650629,22,247.320088934494,17,Subordinate,356.426202622896,8.53551785074591,59.1498623964321,200,18.5164904322185
3,Female,10,533.396309248506,27,159.157898996042,119,Subordinate,349.17347977352,0,44.3481942101598,236,9.94749566162567
4,Female,25,477.307277499546,41,160.027183507391,174,Subordinate,303.093842921497,0,48.9490066321449,92,17.9914619277338
8,Female,14,473.638193717777,10,243.918253087252,31,Subordinate,343.199549696815,0,50.5868513813662,26,8.88451800936089
9,Female,20,506.595368594015,19,173.564620451577,159,Subordinate,306.264534652897,0,52.9215733976046,108,12.0232453262737
15,Female,18,584.785515877536,13,166.049061322385,66,Subordinate,319.146167222564,0,56.7210161186226,64,3.81126411622381
17,Female,12,498.157786093431,40,226.621843841352,42,Subordinate,351.359050673858,0.840790603620512,58.5471343535361,98,11.3460711084457
18,Female,16,496.004058648724,41,188.102724659036,78,Subordinate,310.073474930442,0,33.2398397783654,162,12.854979209306
20,Female,3,491.219075491276,26,204.215974173439,170,Subordinate,315.448866095517,0.0372745454286581,21.4376663056557,144,18.7340727077848
1,Male,109,45.2132344819505,36,6.54179203804729,4,Dominant,315.004269558564,10.8558327942092,22.6069132570309,34,16.3000852668567
3,Male,143,23.1970577383491,10,2.70119968383468,0,Dominant,247.019270265819,29.0339223550142,18.1587534506876,45,10.3185733409254
6,Male,111,80.6750314801997,14,12.7690978002753,3,Dominant,331.700838276254,12.8243800348016,23.9354359529633,29,15.2736903748242
7,Male,97,94.5708929086282,33,6.46871619763779,4,Dominant,295.788093418671,27.2311319901551,34.7362692059975,27,19.565837459752
10,Male,88,30.3819048915393,10,13.2845117654852,3,Dominant,202.748926687942,26.51786977839,23.9132193282296,44,6.03879025458377
11,Male,148,75.1940644215333,15,15.405342509828,7,Dominant,350.285066333217,15.0943608320711,21.4998844343488,9,8.99155837084403
12,Male,139,12.1768372160491,14,16.2886394380618,8,Dominant,203.393012097805,14.6418665621844,32.3258262419539,23,13.7722669777956
13,Male,86,5.8357238986058,20,3.15717024272694,8,Dominant,276.09746802294,25.5969540835453,35.1955130671786,46,12.947040811255
14,Male,104,24.0247333830124,33,8.6559967405485,8,Dominant,264.282731213158,15.0814209830634,30.5640311993225,36,3.38037138429378
15,Male,143,73.2077292197957,22,15.7483391892073,1,Dominant,247.845230227846,12.1923619763174,16.1687111552017,3,8.75187406445894
16,Male,133,91.1095424519925,40,7.71250486993805,7,Dominant,299.972037663276,16.3535564187367,25.2537632741875,23,8.10517840165861
18,Male,119,79.6978334882443,21,12.1649486806134,10,Dominant,338.622475345537,29.5823267756205,29.2295416665927,15,18.9887808215348
20,Male,65,31.7671728694234,146,1.97165634317375,9,Dominant,327.707752836702,27.579107611667,24.6055002006033,23,14.8500827086792
1,Male,12,460.006512372886,27,256.905469959719,163,Subordinate,310.403031348226,6.25378505295915,57.7669092381452,43,6.71490018306294
5,Male,24,431.919400607001,19,212.594904244524,162,Subordinate,307.687417253608,8.55869570050692,36.3364712205251,46,16.6959858368209
6,Male,21,582.428283532451,46,214.333948858314,91,Subordinate,310.371480043662,3.24762938228328,41.6280520304561,161,12.8886257825499
7,Male,15,537.853394673375,16,270.071721284347,148,Subordinate,340.657014951343,6.59288186200246,51.7423472560874,119,10.3392284612479
10,Male,10,531.391589612407,36,278.206534670932,30,Subordinate,335.169001912097,9.75323765253768,32.6142450166193,109,5.75780813544764
11,Male,27,430.373422587909,20,253.943705412657,164,Subordinate,300.153828052237,4.27505544709536,42.8761409313214,179,14.4501365765937
12,Male,21,401.262592479966,16,173.39155276804,144,Subordinate,301.132008874093,4.75867397718884,43.6656879188242,95,4.59348213569049
13,Male,3,408.789143924195,37,191.041427587293,183,Subordinate,346.696123650507,2.76192968397703,20.9403579250313,232,4.56434587902744
14,Male,13,551.060295990468,10,266.582020156201,113,Subordinate,316.410310527395,4.64056203657074,48.8458753093261,215,15.5597230150782
16,Male,24,447.186812170247,40,268.099818810702,25,Subordinate,351.578224305701,1.75879365572271,45.4814344263816,137,6.37677837772254
19,Male,22,557.263028930432,35,177.883197880958,140,Subordinate,355.671844778003,3.78753984895742,39.9531493754798,200,19.7788606877524
